id,name_bn,level
loc:district:bagerhat,Bagerhat,district
loc:district:bandarban,Bandarban,district
loc:district:barguna,Barguna,district
loc:district:barishal,Barishal,district
loc:district:bhola,Bhola,district
loc:district:bogura,Bogura,district
loc:district:brahmanbaria,Brahmanbaria,district
loc:district:chandpur,Chandpur,district
loc:district:chapai-nawabganj,Chapai Nawabganj,district
loc:district:chattogram,Chattogram,district
loc:district:chuadanga,Chuadanga,district
loc:district:coxsbazar,CoxsBazar,district
loc:district:cumilla,Cumilla,district
loc:district:dhaka,Dhaka,district
loc:district:dinajpur,Dinajpur,district
loc:district:faridpur,Faridpur,district
loc:district:feni,Feni,district
loc:district:gaibandha,Gaibandha,district
loc:district:gazipur,Gazipur,district
loc:district:gopalganj,Gopalganj,district
loc:district:habiganj,Habiganj,district
loc:district:jamalpur,Jamalpur,district
loc:district:jashore,Jashore,district
loc:district:jhallokati,Jhallokati,district
loc:district:jhenaidah,Jhenaidah,district
loc:district:joypurhat,Joypurhat,district
loc:district:khagrachari,Khagrachari,district
loc:district:khulna,Khulna,district
loc:district:kishoreganj,Kishoreganj,district
loc:district:kurigram,Kurigram,district
loc:district:kushtia,Kushtia,district
loc:district:lakshmipur,Lakshmipur,district
loc:district:lalmonirhat,Lalmonirhat,district
loc:district:madaripur,Madaripur,district
loc:district:magura,Magura,district
loc:district:manikganj,Manikganj,district
loc:district:meherpur,Meherpur,district
loc:district:moulvibazar,Moulvibazar,district
loc:district:munshiganj,Munshiganj,district
loc:district:mymensingh,Mymensingh,district
loc:district:naogaon,Naogaon,district
loc:district:narail,Narail,district
loc:district:narayanganj,Narayanganj,district
loc:district:narsingdi,Narsingdi,district
loc:district:natore,Natore,district
loc:district:netrokona,Netrokona,district
loc:district:nilphamari,Nilphamari,district
loc:district:noakhali,Noakhali,district
loc:district:pabna,Pabna,district
loc:district:panchagar,Panchagar,district
loc:district:patuakhali,Patuakhali,district
loc:district:pirojpur,Pirojpur,district
loc:district:rajbari,Rajbari,district
loc:district:rajshahi,Rajshahi,district
loc:district:rangamati,Rangamati,district
loc:district:rangpur,Rangpur,district
loc:district:satkhira,Satkhira,district
loc:district:shariatpur,Shariatpur,district
loc:district:sherpur,Sherpur,district
loc:district:sirajganj,Sirajganj,district
loc:district:sunamganj,Sunamganj,district
loc:district:sylhet,Sylhet,district
loc:district:tangail,Tangail,district
loc:district:thakurgaon,Thakurgaon,district
