crop_id,location_id,season,transplant,harvest,avg_temp_c,avg_humidity,production
crop:aman,loc:district:bagerhat,Kharif 2,June,Nov to Dec,26.0,72.5,150905
crop:aman,loc:district:bandarban,Kharif 2,June,Nov to Dec,26.0,72.5,30154
crop:aman,loc:district:barguna,Kharif 2,June,Nov to Dec,26.0,72.5,178315
crop:aman,loc:district:barishal,Kharif 2,June,Nov to Dec,26.0,72.5,229149
crop:aman,loc:district:bhola,Kharif 2,June,Nov to Dec,26.0,72.5,427686
crop:aman,loc:district:bogura,Kharif 2,June,Nov to Dec,26.0,72.5,528275
crop:aman,loc:district:brahmanbaria,Kharif 2,June,Nov to Dec,26.0,72.5,177143
crop:aman,loc:district:chandpur,Kharif 2,June,Nov to Dec,26.0,72.5,70243
crop:aman,loc:district:chapai-nawabganj,Kharif 2,June,Nov to Dec,26.0,72.5,158565
crop:aman,loc:district:chattogram,Kharif 2,June,Nov to Dec,26.0,72.5,435070
crop:aman,loc:district:chuadanga,Kharif 2,June,Nov to Dec,26.0,72.5,94005
crop:aman,loc:district:coxsbazar,Kharif 2,June,Nov to Dec,26.0,72.5,201325
crop:aman,loc:district:cumilla,Kharif 2,June,Nov to Dec,26.0,72.5,297925
crop:aman,loc:district:dhaka,Kharif 2,June,Nov to Dec,26.0,72.5,18052
crop:aman,loc:district:dinajpur,Kharif 2,June,Nov to Dec,26.0,72.5,696412
crop:aman,loc:district:faridpur,Kharif 2,June,Nov to Dec,26.0,72.5,199564
crop:aman,loc:district:feni,Kharif 2,June,Nov to Dec,26.0,72.5,196106
crop:aman,loc:district:gaibandha,Kharif 2,June,Nov to Dec,26.0,72.5,331227
crop:aman,loc:district:gazipur,Kharif 2,June,Nov to Dec,26.0,72.5,133334
crop:aman,loc:district:gopalganj,Kharif 2,June,Nov to Dec,26.0,72.5,45111
crop:aman,loc:district:habiganj,Kharif 2,June,Nov to Dec,26.0,72.5,261337
crop:aman,loc:district:jamalpur,Kharif 2,June,Nov to Dec,26.0,72.5,253428
crop:aman,loc:district:jashore,Kharif 2,June,Nov to Dec,26.0,72.5,388688
crop:aman,loc:district:jhallokati,Kharif 2,June,Nov to Dec,26.0,72.5,92688
crop:aman,loc:district:jhenaidah,Kharif 2,June,Nov to Dec,26.0,72.5,346395
crop:aman,loc:district:joypurhat,Kharif 2,June,Nov to Dec,26.0,72.5,194274
crop:aman,loc:district:khagrachari,Kharif 2,June,Nov to Dec,26.0,72.5,86994
crop:aman,loc:district:khulna,Kharif 2,June,Nov to Dec,26.0,72.5,266182
crop:aman,loc:district:kishoreganj,Kharif 2,June,Nov to Dec,26.0,72.5,215828
crop:aman,loc:district:kurigram,Kharif 2,June,Nov to Dec,26.0,72.5,312446
crop:aman,loc:district:kushtia,Kharif 2,June,Nov to Dec,26.0,72.5,271251
crop:aman,loc:district:lakshmipur,Kharif 2,June,Nov to Dec,26.0,72.5,195078
crop:aman,loc:district:lalmonirhat,Kharif 2,June,Nov to Dec,26.0,72.5,216764
crop:aman,loc:district:madaripur,Kharif 2,June,Nov to Dec,26.0,72.5,33832
crop:aman,loc:district:magura,Kharif 2,June,Nov to Dec,26.0,72.5,152415
crop:aman,loc:district:manikganj,Kharif 2,June,Nov to Dec,26.0,72.5,17897
