ফসল: Aus Rice(Local: Broadcasted) | মৌসুম: Kharif 1 | রোপণ: March | বৃদ্ধি: April to july | কাটাই: Aug | তাপমাত্রা: 12.0–40.0°C | আপেক্ষিক আর্দ্রতা: 85–60% | দেশ: Bangladesh
ফসল: Aus Rice(HYV: Transplant) | মৌসুম: Kharif 1 | রোপণ: March | বৃদ্ধি: April to june | কাটাই: July | তাপমাত্রা: 12.0–40.0°C | আপেক্ষিক আর্দ্রতা: 85–60% | দেশ: Bangladesh
ফসল: Maize 2 | মৌসুম: Kharif 1 | রোপণ: March | বৃদ্ধি: April to May | কাটাই: June to July | তাপমাত্রা: 20.0–34.0°C | আপেক্ষিক আর্দ্রতা: 85–60% | দেশ: Bangladesh
ফসল: Mungbean 2 | মৌসুম: Kharif 1 | রোপণ: Feb | বৃদ্ধি: March to May | কাটাই: June | তাপমাত্রা: 20.0–30.0°C | আপেক্ষিক আর্দ্রতা: 85–20% | দেশ: Bangladesh
ফসল: Soybean 2 | মৌসুম: Kharif 1 | রোপণ: July | বৃদ্ধি: Aug to Oct | কাটাই: Oct to Nov | তাপমাত্রা: 15.0–35.0°C | আপেক্ষিক আর্দ্রতা: 80–35% | দেশ: Bangladesh
ফসল: Groundnut 2 | মৌসুম: Kharif 1 | রোপণ: May | বৃদ্ধি: June to Sep | কাটাই: Oct | তাপমাত্রা: 20.0–35.0°C | আপেক্ষিক আর্দ্রতা: 90–80% | দেশ: Bangladesh
ফসল: Ridge Gourd | মৌসুম: Kharif 1 | রোপণ: March | বৃদ্ধি: April to Aug | কাটাই: Sep | তাপমাত্রা: 25.0–35.0°C | আপেক্ষিক আর্দ্রতা: 90–85% | দেশ: Bangladesh
ফসল: Indian Spinach(Pui shakh) | মৌসুম: Kharif 1 | রোপণ: March | বৃদ্ধি: April to Aug | কাটাই: Sep to Oct | তাপমাত্রা: 15.0–20.0°C | আপেক্ষিক আর্দ্রতা: 95–75% | দেশ: Bangladesh
ফসল: Kang Kong(Kolomi Shakh) | মৌসুম: Kharif 1 | রোপণ: March | বৃদ্ধি: April to Aug | কাটাই: Sep to Oct | তাপমাত্রা: 20.0–35.0°C | আপেক্ষিক আর্দ্রতা: 100–80% | দেশ: Bangladesh
ফসল: Egg plant | মৌসুম: Kharif 1 | রোপণ: July | বৃদ্ধি: Sep to March | কাটাই: March | তাপমাত্রা: 23.0–45.0°C | আপেক্ষিক আর্দ্রতা: 85–50% | দেশ: Bangladesh
ফসল: Hyacinth Bean | মৌসুম: Kharif 1 | রোপণ: June | বৃদ্ধি: Aug to Feb | কাটাই: March | তাপমাত্রা: 17.0–25.0°C | আপেক্ষিক আর্দ্রতা: 94–76% | দেশ: Bangladesh
