ফসল: Aman | জেলা: Bagerhat | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 150905
ফসল: Aman | জেলা: Bandarban | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 30154
ফসল: Aman | জেলা: Barguna | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 178315
ফসল: Aman | জেলা: Barishal | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 229149
ফসল: Aman | জেলা: Bhola | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 427686
ফসল: Aman | জেলা: Bogura | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 528275
ফসল: Aman | জেলা: Brahmanbaria | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 177143
ফসল: Aman | জেলা: Chandpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 70243
ফসল: Aman | জেলা: Chapai Nawabganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 158565
ফসল: Aman | জেলা: Chattogram | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 435070
ফসল: Aman | জেলা: Chuadanga | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 94005
ফসল: Aman | জেলা: CoxsBazar | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 201325
ফসল: Aman | জেলা: Cumilla | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 297925
ফসল: Aman | জেলা: Dhaka | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 18052
ফসল: Aman | জেলা: Dinajpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 696412
ফসল: Aman | জেলা: Faridpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 199564
ফসল: Aman | জেলা: Feni | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 196106
ফসল: Aman | জেলা: Gaibandha | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 331227
ফসল: Aman | জেলা: Gazipur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 133334
ফসল: Aman | জেলা: Gopalganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 45111
ফসল: Aman | জেলা: Habiganj | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 261337
ফসল: Aman | জেলা: Jamalpur | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 253428
ফসল: Aman | জেলা: Jashore | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 388688
ফসল: Aman | জেলা: Jhallokati | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 92688
ফসল: Aman | জেলা: Jhenaidah | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 346395
ফসল: Aman | জেলা: Joypurhat | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 194274
ফসল: Aman | জেলা: Khagrachari | মৌসুম: Kharif 2 | রোপণ: June | বৃদ্ধি: July to Oct | কাটাই: Nov to Dec | গড় তাপমাত্রা: 26.0°C | তাপমাত্রা: 12.0–40°C | গড় আর্দ্রতা: 72.5% | আপেক্ষিক আর্দ্রতা: 85–60% | উৎপাদন: 86994
